date,SHY
2010-12-14,-0.000476
2010-12-15,-0.000358
2010-12-16,0.000238
2010-12-17,0.000834
2010-12-20,0.000238
2010-12-21,-0.000238
2010-12-22,-0.000238
2010-12-23,-0.00131
2010-12-27,0.000596
2010-12-28,-0.00134
2010-12-29,0.002389
2010-12-30,-0.000358
2010-12-31,0.001192
2011-01-03,-0.000238
2011-01-04,-0.000238
2011-01-05,-0.001787
2011-01-06,0.001074
2011-01-07,0.001401
2011-01-10,0.000506
2011-01-11,-0.000595
2011-01-12,0.0
2011-01-13,0.000357
2011-01-14,0.0
2011-01-18,-0.000238
2011-01-19,0.000476
2011-01-20,-0.001071
2011-01-21,0.000238
2011-01-24,-0.000119
2011-01-25,0.000715
2011-01-26,-0.000238
2011-01-27,0.000714
2011-01-28,0.000476
2011-01-31,-0.000119
2011-02-01,-0.001098
2011-02-02,-0.000596
2011-02-03,-0.000954
2011-02-04,-0.000835
2011-02-07,-0.000478
2011-02-08,-0.001314
2011-02-09,0.000718
2011-02-10,-0.000478
2011-02-11,0.0
2011-02-14,0.0
2011-02-15,0.000478
2011-02-16,-0.00012
2011-02-17,0.001196
2011-02-18,0.000358
2011-02-22,0.001074
2011-02-23,-0.000238
2011-02-24,0.000477
2011-02-25,0.000238
2011-02-28,0.000358
2011-03-01,0.000605
2011-03-02,-0.000477
2011-03-03,-0.002027
2011-03-04,0.00227
2011-03-07,-0.000715
2011-03-08,-0.000358
2011-03-09,0.000716
2011-03-10,0.001073
2011-03-11,0.000179
2011-03-14,0.000536
2011-03-15,-0.000476
2011-03-16,0.001786
2011-03-17,-0.000476
2011-03-18,-0.000476
2011-03-21,-0.001071
2011-03-22,-0.000238
2011-03-23,0.000119
2011-03-24,-0.000715
2011-03-25,-0.000715
2011-03-28,-0.000477
2011-03-29,-0.000358
2011-03-30,0.000597
2011-03-31,-0.000597
2011-04-01,0.000803
2011-04-04,0.000239
2011-04-05,-0.001074
2011-04-06,0.0
2011-04-07,0.000717
2011-04-08,-0.000358
2011-04-11,-0.000119
2011-04-12,0.001673
2011-04-13,0.000477
2011-04-14,-0.000954
2011-04-15,0.001909
2011-04-18,0.000238
2011-04-19,0.000238
2011-04-20,-0.000119
2011-04-21,-0.000238
2011-04-25,0.000119
2011-04-26,0.000953
2011-04-27,0.000357
2011-04-28,0.0
2011-04-29,0.000476
