date,ICLN,PBW,QCLN,SPY,XLE
2009-09-10,0.020741,0.016221,0.02193,0.010219,0.01734
2009-09-11,-0.011673,-0.007512,-0.016279,-0.000191,0.003933
2009-09-14,-0.004374,0.006623,-0.002636,0.004868,0.007463
2009-09-15,0.029877,0.020677,0.020435,0.004179,0.01
2009-09-16,0.02773,0.018416,0.020646,0.015134,0.024752
2009-09-17,-0.001665,0.004521,0.004456,-0.001491,-0.004831
2009-09-18,0.020374,0.007201,0.005041,0.000638,-0.003483
2009-09-21,-0.019556,-0.008043,-0.00627,-0.00253,-0.008518
2009-09-22,0.015794,0.018919,0.00812,0.005824,0.015719
2009-09-23,-0.017889,-0.015915,-0.013067,-0.008312,-0.020875
2009-09-24,-0.034696,-0.031447,-0.027178,-0.011019,-0.014336
2009-09-25,-0.009495,-0.002783,-0.004648,-0.005333,-0.001305
2009-09-28,0.012418,0.019535,0.008513,0.017903,0.016057
2009-09-29,-0.007962,0.0,0.0,-0.00301,-0.002756
2009-09-30,0.008677,-0.009124,0.000909,-0.003868,-0.006449
2009-10-01,-0.049032,-0.051565,-0.054236,-0.024529,-0.031157
2009-10-02,-0.008141,-0.005825,-0.011524,-0.004951,-0.005168
2009-10-05,0.01067,0.014649,0.015961,0.014928,0.022128
2009-10-06,0.023696,0.020212,0.021175,0.014324,0.02372
2009-10-07,0.008718,0.004717,0.001338,0.002749,0.007723
2009-10-08,0.008433,0.015024,0.006012,0.007656,0.02573
2009-10-09,-0.013063,0.009251,0.02257,0.006097,-0.00089
2009-10-12,0.017622,0.011916,0.015026,0.003916,0.013533
2009-10-13,-0.014232,-0.005435,-0.013518,-0.002043,0.001581
2009-10-14,0.023628,0.009108,0.01297,0.017216,0.016664
2009-10-15,-0.011539,0.002708,-0.014149,0.003659,0.020877
2009-10-16,-0.018599,-0.016202,-0.014222,-0.007474,-0.003042
2009-10-19,0.01587,0.012809,0.016469,0.008265,0.013053
2009-10-20,-0.00521,-0.012647,-0.006481,-0.005274,-0.006359
